Scenario,ScenarioDescription,Task,Domain,Method,Parties,InteractionRounds,ComputeMs,OnlineCommMB,RTTMs,BandwidthMbps,TransferMs,RoundTripMs,ProjectedE2EMs,ProjectedQPS,ComputeSharePct,TransferSharePct,RoundTripSharePct
cross_region_cloud,cross-region cloud collaboration,Diabetes,medical,SecureNN (3PC),3,4,0.02820416666666667,4.0,100.0,50.0,640.0,400.0,1040.0282041666667,0.9615123859080921,0.002711865558421615,61.53679269811789,38.46049543632368
iot_gateway,constrained IoT gateway uplink,Diabetes,medical,SecureNN (3PC),3,4,0.02820416666666667,4.0,30.0,20.0,1600.0,120.0,1720.0282041666667,0.5813858154055609,0.001639750243533434,93.02173046488974,6.976629784866731
edge_lan,co-located edge/cloudlet nodes,Digits,general,2Cloud-D (Data-only),2,1,0.0057603703703703706,0.582275390625,1.0,1000.0,4.658203125,1.0,5.66396349537037,176.5548102168002,0.10170210975192198,82.24281686856806,17.655481021680018
campus_cloudlet,campus or hospital cloudlet,Digits,general,2Cloud-D (Data-only),2,1,0.0057603703703703706,0.582275390625,5.0,1000.0,4.658203125,5.0,9.663963495370371,103.47721206511811,0.05960670663884378,48.20178726080209,51.738606032559055
metropolitan_edge,metropolitan edge federation,Digits,general,2Cloud-D (Data-only),2,1,0.0057603703703703706,0.582275390625,20.0,200.0,23.291015625,20.0,43.29677599537037,23.096407919770467,0.013304386384303335,53.79387977407477,46.192815839540934
regional_cloud,regional public cloud deployment,Digits,general,2Cloud-D (Data-only),2,1,0.0057603703703703706,0.582275390625,50.0,100.0,46.58203125,50.0,96.58779162037037,10.353275328319029,0.005963870043753551,48.227659488361105,51.766376641595144
cross_region_cloud,cross-region cloud collaboration,Digits,general,2Cloud-D (Data-only),2,1,0.0057603703703703706,0.582275390625,100.0,50.0,93.1640625,100.0,193.16982287037035,5.176792032734149,0.0029820239438931194,48.22909764871463,51.767920327341486
iot_gateway,constrained IoT gateway uplink,Digits,general,2Cloud-D (Data-only),2,1,0.0057603703703703706,0.582275390625,30.0,20.0,232.91015625,30.0,262.91591662037035,3.8034973799015765,0.002190955361096638,88.58731690493417,11.41049213970473
edge_lan,co-located edge/cloudlet nodes,Digits,general,ASS (Ours),2,1,0.005623703703703704,0.81298828125,1.0,1000.0,6.50390625,1.0,7.509529953703704,133.16412693803818,0.07488755938619154,86.60869974680998,13.316412693803818
campus_cloudlet,campus or hospital cloudlet,Digits,general,ASS (Ours),2,1,0.005623703703703704,0.81298828125,5.0,1000.0,6.50390625,5.0,11.509529953703705,86.88452126389448,0.04886128040262865,56.50887808765012,43.442260631947235
metropolitan_edge,metropolitan edge federation,Digits,general,ASS (Ours),2,1,0.005623703703703704,0.81298828125,20.0,200.0,32.51953125,20.0,52.525154953703705,19.038496904605267,0.010706686555538015,61.91229950423393,38.076993809210535
regional_cloud,regional public cloud deployment,Digits,general,ASS (Ours),2,1,0.005623703703703704,0.81298828125,50.0,100.0,65.0390625,50.0,115.0446862037037,8.692274567374207,0.004888277667815183,56.53373888546115,43.46137283687103
cross_region_cloud,cross-region cloud collaboration,Digits,general,ASS (Ours),2,1,0.005623703703703704,0.81298828125,100.0,50.0,130.078125,100.0,230.0837487037037,4.346243511912594,0.002444198573514105,56.535120682300544,43.46243511912595
iot_gateway,constrained IoT gateway uplink,Digits,general,ASS (Ours),2,1,0.005623703703703704,0.81298828125,30.0,20.0,325.1953125,30.0,355.2009362037037,2.815307894984014,0.0015832457436087877,91.55249306930435,8.445923684952042
edge_lan,co-located edge/cloudlet nodes,Digits,general,3Share-DM (3-party),3,1,0.0080825,1.768798828125,1.0,1000.0,14.150390625,1.0,15.158473125,65.96970497976854,0.05332001404989792,93.34970948797324,6.596970497976853
campus_cloudlet,campus or hospital cloudlet,Digits,general,3Share-DM (3-party),3,1,0.0080825,1.768798828125,5.0,1000.0,14.150390625,5.0,19.158473125,52.19622636289811,0.04218759995781239,73.85969921859314,26.098113181449058
metropolitan_edge,metropolitan edge federation,Digits,general,3Share-DM (3-party),3,1,0.0080825,1.768798828125,20.0,200.0,70.751953125,20.0,90.760035625,11.018065309403077,0.008905351286325037,77.95496402990752,22.036130618806155
regional_cloud,regional public cloud deployment,Digits,general,3Share-DM (3-party),3,1,0.0080825,1.768798828125,50.0,100.0,141.50390625,50.0,191.51198875,5.2216052192189455,0.004220362418433713,73.88775354148683,26.108026096094726
cross_region_cloud,cross-region cloud collaboration,Digits,general,3Share-DM (3-party),3,1,0.0080825,1.768798828125,100.0,50.0,283.0078125,100.0,383.015895,2.61085770343813,0.0021102257388038686,73.8893127398799,26.1085770343813
iot_gateway,constrained IoT gateway uplink,Digits,general,3Share-DM (3-party),3,1,0.0080825,1.768798828125,30.0,20.0,707.51953125,30.0,737.52761375,1.3558814359715219,0.0010958911706239825,95.93125980091482,4.067644307914566
edge_lan,co-located edge/cloudlet nodes,Digits,general,SecureNN (3PC),3,4,0.04122083333333333,10.0,1.0,1000.0,80.0,4.0,84.04122083333333,11.898922815306953,0.04904835142159654,95.19138252245563,4.7595691261227815
campus_cloudlet,campus or hospital cloudlet,Digits,general,SecureNN (3PC),3,4,0.04122083333333333,10.0,5.0,1000.0,80.0,20.0,100.04122083333333,9.99587961512365,0.041203848763507606,79.9670369209892,19.9917592302473
metropolitan_edge,metropolitan edge federation,Digits,general,SecureNN (3PC),3,4,0.04122083333333333,10.0,20.0,200.0,400.0,80.0,480.04122083333334,2.083154438829311,0.008586936193057657,83.32617755317246,16.665235510634492
regional_cloud,regional public cloud deployment,Digits,general,SecureNN (3PC),3,4,0.04122083333333333,10.0,50.0,100.0,800.0,200.0,1000.0412208333333,0.9999587808657537,0.004121913424627042,79.9967024692603,19.999175617315075
cross_region_cloud,cross-region cloud collaboration,Digits,general,SecureNN (3PC),3,4,0.04122083333333333,10.0,100.0,50.0,1600.0,400.0,2000.0412208333332,0.49998969500405693,0.0020609991886146395,79.99835120064911,19.999587800162278
iot_gateway,constrained IoT gateway uplink,Digits,general,SecureNN (3PC),3,4,0.04122083333333333,10.0,30.0,20.0,4000.0,120.0,4120.041220833333,0.2427160182144335,0.001000495653414746,97.0864072857734,2.912592218573202
