Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
MNIST,general,SecureNN (3PC),SUCCESS,5000,64,3,0.9416,0.005444263035526498,0.9354392364109633,0.9477607635890367,0.0030000000000000027,0.8712552083333334,0.7734364773072995,0.0,1.746480974747246,1147.7693222780829,48.5,0.7764434814453125,48.84636220345414,51.15363779654586,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
MNIST,general,CKKS (HE),NA,,1,1,,,,,,1303.5651,0.0,,,0.7671270119152469,,,1.0697216,0.2322176,multi_seed_train_repeats,62,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
MNIST,general,Paillier (PHE),APPROX,5,5,1,1.0,0.0,,,-0.055400000000000005,84499.83811999999,0.0,,,0.011834342198145742,50.0,,60.0,40.0,multi_seed_train_repeats,62,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
Medical,medical,2Cloud-D (Data-only),SUCCESS,114,114,3,0.9415204678362573,0.005064476045522985,0.9357894736842106,0.947251461988304,0.0,0.017325438596491227,0.0012026290196653375,0.01596453574754271,0.018686341445439743,57718.59652675814,0.085235595703125,0.0,41.61112211722833,58.38887788277167,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
Medical,medical,ASS (Ours),SUCCESS,114,114,3,0.9415204678362573,0.005064476045522985,0.9357894736842106,0.947251461988304,0.0,0.017557894736842106,0.0006510332247836801,0.01682118128998482,0.018294608183699393,56954.43645083933,0.116546630859375,0.00202178955078125,54.98701750019112,45.01298249980888,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
Medical,medical,3Share-DM (3-party),SUCCESS,114,114,3,0.9415204678362573,0.005064476045522985,0.9357894736842106,0.947251461988304,0.0,0.02563391812865497,0.0018480641575995915,0.023542636664470117,0.027725199592839825,39010.813523748686,0.25048828125,0.0040435791015625,66.48107555160975,33.51892444839026,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
Medical,medical,SecureNN (3PC),SUCCESS,114,64,3,0.9415204678362573,0.005064476045522985,0.9357894736842106,0.947251461988304,0.0,0.029085416666666666,0.0012737876563578348,0.027643990239940974,0.030526843093392358,34381.49129718501,12.0,0.0040435791015625,54.702023516669875,45.29797648333011,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
Medical,medical,CKKS (HE),NA,,1,1,,,,,,94.9994,0.0,,,10.526382271888034,,,0.0642384,0.0292688,multi_seed_train_repeats,62,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
Medical,medical,Paillier (PHE),APPROX,5,5,1,0.8,0.0,,,0.14152046783625727,860.6593200000001,0.0,,,1.1618999257452993,5.0,,60.0,40.0,multi_seed_train_repeats,62,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
Wine,general,2Cloud-D (Data-only),SUCCESS,36,36,3,0.9722222222222222,0.0,0.9722222222222222,0.9722222222222222,0.0,0.050494444444444446,0.002223612412380774,0.047978190123716034,0.05301069876517286,19804.158873363405,0.022796630859375,0.0,42.734211852206705,57.265788147793295,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
Wine,general,ASS (Ours),SUCCESS,36,36,3,0.9722222222222222,0.0,0.9722222222222222,0.9722222222222222,0.0,0.05417685185185185,0.001017718541054736,0.05302519490752289,0.055328508796180814,18458.067713763223,0.033233642578125,0.001049041748046875,55.34498442772505,44.655015572274955,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
Wine,general,3Share-DM (3-party),SUCCESS,36,36,3,0.9722222222222222,0.0,0.9722222222222222,0.9722222222222222,0.0,0.07367314814814815,0.0016169824370246262,0.07184336026737767,0.07550293602891864,13573.466386818654,0.072509765625,0.00209808349609375,63.43685754777727,36.56314245222273,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
Wine,general,SecureNN (3PC),SUCCESS,36,36,3,0.9722222222222222,0.0,0.9722222222222222,0.9722222222222222,0.0,0.042573148148148145,0.0032437146407755827,0.03890253948693696,0.04624375680935933,23488.984101437614,5.0,0.00209808349609375,53.227334753502134,46.772665246497866,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
Wine,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
Wine,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
