Seed,Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
42,Liver,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,Liver,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
52,MNIST,general,2Cloud-D (Data-only),SUCCESS,5000,5000,1,0.9404,0.0,,,0.0,0.0013851800000000002,0.0,,,721927.836093504,50.201416015625,0.0,56.82110322472476,43.17889677527524,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
52,MNIST,general,ASS (Ours),SUCCESS,5000,5000,1,0.9402,0.0,,,0.00019999999999997797,0.00151602,0.0,,,659621.904724212,60.72998046875,0.38822174072265625,63.291109043631764,36.708890956368236,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
52,MNIST,general,3Share-DM (3-party),SUCCESS,5000,5000,1,0.9402,0.0,,,0.00019999999999997797,0.0020722600000000002,0.0,,,482564.92911121185,127.105712890625,0.7764434814453125,66.78223627186051,33.2177637281395,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
52,MNIST,general,SecureNN (3PC),SUCCESS,5000,64,1,0.9366,0.0,,,0.0038000000000000256,1.7641843750000001,0.0,,,566.8341779753036,48.5,0.7764434814453125,64.59719142645972,35.40280857354028,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
52,MNIST,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
52,MNIST,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
52,Fashion,general,2Cloud-D (Data-only),SUCCESS,5000,5000,1,0.861,0.0,,,0.0,0.001353,0.0,,,739098.3000739098,50.201416015625,0.0,57.62837510335586,42.37162489664414,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
52,Fashion,general,ASS (Ours),SUCCESS,5000,5000,1,0.861,0.0,,,0.0,0.0014837,0.0,,,673990.6989283548,60.72998046875,0.38822174072265625,64.60840065408928,35.39159934591073,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
